單字,音標,詞性,中文釋義,英文例句,相關片語或備註,來源
voluntarily,'vɒləntərɪ(ə)li,adv.,"自願地, 自動地",He does not voluntarily express his feelings about the relationship between China and Taiwan.,無,3
drastically,'dræstɪkli,adv.,徹底而突然地,The percentage of people who supported the Labour candidate fell drastically after the debate with his opponent.,無,3
lapse,læps,v.,"(契約) 終止, (時間) 流逝, 陷入","The cancer patient finally lapsed into a coma, giving him relief from his agony.",無,4
harmonise,'hɑ:mənaɪz,v.,"使調和, 使和諧","If human beings can harmonise their lifestyles with nature, their health will improve in many ways.",無,4
concrete,'kɒŋkri:t,a.,"具體的, 有形的, 實在的",Forensic scientists were able to provide concrete evidence of the attacker's identity.,無,4
arouse,ə'raʊz,v.,"喚起, 引起, 激發",Taking a class in investments aroused my interest in business as a whole.,無,4
compulsive,kəm'pʌlsɪv,a.,"強制的, 強迫性的, 無法控制或停止的",He has been fighting a compulsive addiction to smoking for two years.,無,4
differentiate,ˌdɪfə'renʃɪeɪt,v.,區分,It is important to differentiate between the symptoms of different strains of hepatitis in order to take appropriate action in curing the disease.,無,4
substantiate,səb'stænʃɪeɪt,v.,"證明, 證實",The company appears to be unable to substantiate their claims as to the effectiveness of the herbal medicine. I think it should be taken off the shelves.,無,4
ethnic,'eθnɪk,a.,"種族的, 異國的",My favourite kind of ethnic food is Mexican.,無,5
decisive,dɪ'saɪsɪv,a.,"決定性的, 堅決的, 果斷的",His decision to resign from his position in the office was quite decisive. He actually left that very same day.,無,5
exuberant,ɪɡ'zju:bərənt,a.,"(人) 精力充沛的, (植物) 生長繁茂的",Her attitude towards every situation is always exuberant. I don't know how she manages to have that much energy.,無,5
predominate,prɪ'dɒmɪ(ə)neɪt,v.,"支配, 主導, 佔優勢","People with a liberal ideology predominate at that newspaper, hence most of their articles tend to slant to the left.",無,5
convey,kən'veɪ,v.,"運送, 傳達",It was hard for her to convey her views on that serious issue in such a short amount of time.,無,5
evoke,ɪ'vəʊk,v.,"引起, 使憶起",I don't know why he always evokes such anger in me. I guess his personality is just really irritating.,無,5
edible,'edɪ(ə)bl,a.,可食用的,Most Westerners don't consider raw eggs edible but people from other cultures eat them that way.,無,5
penetrate,'penɪ(ə)treɪt,v.,"看穿, 洞察, 刺破",The look that she gave me felt as if it were penetrating into my very soul.,無,5
oddly,'ɒdli,adv.,"奇怪地, 古怪地","Oddly enough, the only professor at this school with an MBA degree works in the Department of Sociology.",無,6
unlikely,ʌn'laɪkli,a.,不大可能的,"Because of the changes in the American economy and immigration policies after 9/11, it is unlikely that I will go there to get my PhD.",無,6
oppose,ə'pəʊz,v.,反對,I'm not opposed to you taking a vacation at Christmas. I just feel that it will be inconvenient considering that we will probably have more customers during that time.,無,6
priority,praɪ'ɒrɪ(ə)ti,n.,"優先考量的事, 最重要的人, 優先 (權)","Your first priority in a romantic relationship should not be what you can get from the other person, but rather what you can do for that person.",無,6
symbolise,'sɪmbəlaɪz,v.,"象徵, 以符號代表",The government officials in Shanghai hope that constructing the world's tallest building will symbolise Shanghai's economic recovery after the destruction caused by the Cultural Revolution.,無,6
defeat,dɪ'fi:t,v.,"擊敗, 戰勝, 使...破滅或失敗",Opposition parties defeated the Labour Welsh Assembly Government in a debate on university tuition fees.,無,6
recognisable,'rekəɡnaɪzəbəl,a.,易於辨認的,The skyscraper 101 is an easily recognisable landmark on the Taipei skyline as it is the second tallest building in the world.,無,6
admonish,əd'mɒnɪʃ,v.,"告誡, 責備",The professor admonished the students for being late to class.,無,7
allege,ə'ledʒ,v.,"(沒有證據的) 指控, 斷言, 主張","The teacher alleged that the student had cheated in the exam, but could not prove it.",無,7
allocate,'æləkeɪt,v.,"撥出, 分配",The government should allocate more of its health funding to the promotion of exercise to prevent disease.,無,7
ambiguous,æm'bɪɡjʊəs,a.,"曖昧的, 不明確的","When I asked my sister about her first date last night, her answer was rather ambiguous. I hope there's nothing wrong that she's not telling me.",無,7
accessible,ək'sesɪ(ə)bəl,a.,"易達到的, 易取得的, 易了解的",The government should subsidise gene therapy to make it accessible to all and not just the wealthy.,無,7
considerable,kən'sɪdərəbəl,a.,"相當多的, 相當大的, 重要的","After spending considerable time promoting this product, it is disappointing to see it fail.",無,7
apprehensive,ˌæprɪ'hensɪv,a.,"擔憂的, 不安的","After the terrible car accident, the driver was quite apprehensive about getting into a car again.",無,7
revolutionise,ˌrevə'lu:ʃənaɪz,v.,"使產生根本性的巨大變革, 徹底改變","If you really want to revolutionise this business, you have to think of something that nobody else has thought of yet.",無,8
virtual,'vɜ:tʃʊəl,a.,"實際上的, 實質上的",During the strike the factory was in a virtual state of shutdown.,無,8
initial,'ɪnɪʃəl,a. / n.,"最初的, 開始的; 姓名的第一個字母",My initial response to his comment was to laugh but then I realised that he was being serious.,無,8
reliable,rɪ'laɪəbəl,a.,"可靠的, 可信賴的",The only reliable method of public transportation in my city is the bus.,無,8
accumulate,ə'kju:mjʊleɪt,v.,"(經過較長的時間) 累積, 增加","The longer you work at this company, the more vacation days you will accumulate.",無,8
contagious,kən'teɪdʒəs,a.,"傳染性的, (指情緒、感覺方面) 有感染力的","Her laughter is contagious. As soon as she starts laughing, everybody else does too.",無,8
favourable,'feɪvərəbəl,a.,"令人高興的, 有幫助的",The only possible favourable result from this action is that people will have heard of our company's name.,無,8
ample,'æmpl,a.,"充足的, 寬闊的",Living with three other British people gives me ample opportunity to practise my English.,無,8
convert,kən'vɜ:t,v.,"改變, 轉換, 使改變信仰",The government decided to convert the old hospital into a large nursing home.,無,9
definitive,dɪ'fɪnɪ(ə)tɪv,a.,"權威的, 最後的",Stodgeson and Wickham is the definitive reference for the treatment of tropical diseases today; there's none better.,無,9
obscure,əb'skjʊə,a.,"難理解的, 不清楚的, 鮮為人知的","His Arabic is very good, but sometimes he will know the most obscure word, while not understanding some simple sentences.",無,9
painstaking,'peɪnzˌteɪkɪŋ,a.,"非常用心、仔細的, 煞費苦心的",The painstaking research into cures for cancer promises to have many helpful future applications.,無,9
profound,prə'faʊnd,a.,"深切的, 完全的","After he took painting classes, the psychiatrist observed a profound improvement in the patient's mental health.",無,9
toss-up,tɒs ʌp,n.,輸贏各半、平分秋色的狀況,It's a toss-up between who will be nominated as the new director. It'll be either Helen Jones or Richard Keats.,無,9
commute,kə'mju:t,v.,"往來, 通勤","Nurses should not have to commute to work due to the irregular hours of shifts and the stressful demands of the job. Therefore, the hospital provides accommodation for them.",無,9
arise,ə'raɪz,v.,"出現, 發生, 升起","Health problems can arise as a result of stress combined with inadequate nutrition, both of which are due to overwork.",無,10
coincide,ˌkəʊɪn'saɪd,v.,"同時發生, 一致, 相符","If the results of the two independent studies coincide and are positive, the medical establishment will consider taking the Atkins diet more seriously.",無,10
incident,'ɪnsɪ(ə)dənt,n.,"事件, (意外的) 插曲或事故",The bypass operation was completed without incident and the Prime Minister is now recovering in hospital.,無,10
drastic,'dræstɪk,a.,"極端的, 激烈的","In emergency war situations, drastic measures such as amputation of limbs are necessary at times.",無,10
straightforward,ˌstreɪt'fɔ:wəd,a.,"簡單易懂的, 直接了當的, 誠實的",The CEO of this company likes all of his questions to be answered in a straightforward manner.,無,10
subsidiary,səb'sɪdɪəri,a.,"次要的, 輔助的, 附屬的",There are doctors who believe that diet plays only a subsidiary role in the onset of cancer and that genetics accounts for 85% of the risk factors.,無,10
passive,'pæsɪv,a.,"被動的, 消極的",Passive smoking is even more dangerous than that engaged in by the smoker because none of the toxins are filtered out of the burning end of the cigarette.,passive smoking 二手菸,10
striking,'straɪkɪŋ,a.,"顯著的, 驚人的",The difference between the number of students using email now and that of five years ago is striking.,無,11
agitation,ˌædʒɪ'teɪʃən,n.,"憂慮不安, 緊張情勢",The patient's father was in a state of high agitation after hearing that his daughter's illness might be incurable.,無,11
coating,'kəʊtɪŋ,n.,"外層 (塗料), 覆蓋層",The coating on these pills tastes good so that parents won't have trouble administering them to their children.,無,11
install,ɪn'stɔ:l,v.,"安裝, 架設, 安頓","Once this heart rate monitor is installed, we are going to start using it on the patients straight away.",無,11
insulate,'ɪnsjʊleɪt,v.,"使絕緣, 使隔離 (冷, 熱, 噪音, 電等)",Households which insulate their homes will receive a government rebate.,無,11
miniature,'mɪnɪətʃə,a.,"縮影的, 小規模的, 微型的","In the future, miniature robots will be able to travel through our arteries to repair our bodies.",無,11
proportionate,prə'pɔ:ʃənɪ(ə)t,a.,"成比例的, 勻稱的","Your ideal weight is proportionate not only to your height, but also to the size and density of your bones.",無,11
cyclic,'saɪklɪk,a.,"循環的, 週期性的","Because of the cyclic nature of their reproductive system, women are able to eliminate toxins from their body on a regular basis.",無,11
so-called,ˌsəʊ'kɔ:ld,a.,所謂的 (尤指以不以為然的態度形容某人的稱謂或關係),His so-called girlfriend actually broke up with him three months ago.,無,12
reassuring,ˌri:ə'ʃʊərɪŋ,a.,"(使) 安心的, 安撫的",My manager's praise is very reassuring to me. She is always encouraging me to do better. / The nurse's reassuring utterances helped to reduce the child's fears and she soon fell asleep.,無,12
hazardous,'hæzədəs,a.,"危險的, 危害的",Drinking alcohol and smoking cigarettes are very hazardous to your health.,無,12
endanger,ɪn'deɪndʒə,v.,"危害, 使...有危險",Do not endanger children by placing them within reach of poisonous chemicals.,無,12
risk,rɪsk,v.,冒著...的危險,I don't smoke because I am not willing to risk my health or that of my unborn child.,無,12
courtesy,'kɜ:tɪsi,n.,"有禮的舉止, 禮貌","While I was in the hospital, he did not even have the courtesy to pay me a visit.",無,12
coincidental,kəʊˌɪnsɪ'dentl,a.,巧合的,My chance meeting with him on the street was not coincidental—he had planned to run into me.,無,12
utilise,'ju:tɪlaɪz,v.,利用,This software is best utilised in accounting applications.,無,13
enhance,ɪn'hɑ:ns,v.,"提升 (品質), 加強",There are many products out there that claim to enhance a woman's beauty but I think that most of them are useless.,無,13
qualitative,'kwɒlɪtətɪv,a.,"質的, 品質上的",Qualitative research is becoming more important than quantitative in the social sciences.,無,13
contemplate,'kɒntəmpleɪt,v.,"深思, 打算 (未來想做的事或決定)",The reason that Tim chose to major in philosophy is because he likes to contemplate the meaning of things.,無,13
neutral,'nju:trəl,a.,"中立的, (聲音、表情) 不帶感情的、沒有意見的",There are not very many people who have neutral opinions about the topic of gay marriages.,無,13
bond,bɒnd,n.,"情感上的緊密結合, 契約, 債券",The bond between mother and child is said to be one of the most precious there is.,無,13
scope,skəʊp,n.,"範圍, 機會, 規模",The scope of this problem is larger than we originally anticipated.,無,13
ultimately,'ʌltɪmɪ(ə)tli,adv.,最終,I ultimately hope to become fluent in Chinese.,無,13
attempt,ə'tempt,v. / n.,"企圖, 嘗試",Don't even attempt to answer this question. It is way too difficult for you.,無,14
prolong,prə'lɒŋ,v.,"延長, 延伸, 拖延","The more the construction of the building is prolonged, the more money we are going to lose on our investment.",無,14
craze,kreɪz,n.,"(一時的) 狂熱, 風潮",The latest fashion craze in Europe has been girls wearing short skirts.,無,14
pathetic,pə'θetɪk,a.,"可憐的, 悲哀的",I can't believe you graduated from Cambridge and can't find a job. That is absolutely pathetic.,無,14
conceivable,kən'si:vəbəl,a.,"可信的, 可想像的, 可能的",There is no conceivable reason for me to date you.,無,14
occasionally,ə'keɪʒənəli,adv.,偶爾,Occasionally I like to cook Western style food but most of the time I just eat Chinese.,無,14
factual,'fæktʃʊəl,a.,"真實的, (根據) 事實的",We do not have any factual evidence that UFOs actually exist.,無,14
abide,ə'baɪd,v.,"遵守, 居留, 停留","If citizens don't abide by the rules of society, they will be arrested by the police.",無,14
mimic,'mɪmɪk,v.,模仿 (以像、聲、行等、意圖、偶爾戲弄),The best way to learn a proper British accent is to mimic the way they speak.,無,15
skeptical,'skeptɪkl,a.,"懷疑的, 多疑的, 不相信的",The reason that I am skeptical about the promises that you give me is that you tend to not tell me the complete truth.,無,15
shed,ʃed,v.,"釋出, 落下, 擺脫, 散發",His speech shed some light on a medical condition that has been puzzling researchers for many years.,shed light on 闡明,15
surface,'sɜ:fɪ(ə)s,n. / v.,"表面, 外觀; 浮出水面, 出現","On the surface it may look as if she is fine, but actually her parents are going through a divorce right now. / It is dangerous for submarines to surface because they are then in danger of being seen.",無,15
imminent,'ɪmɪ(ə)nənt,a.,"即將發生的, 逼近的",The closure of a number of post offices in the West Midlands is imminent due to the restructuring and modernisation programme.,無,15
precarious,prɪ'keərɪəs,a.,"不穩固的, 不確定的","Because of the typhoon, the branches of that tree are in a precarious position.",無,15
improbable,ɪm'prɒbəbl,a.,"不太可能發生的, 未必是真實的",It is improbable that they will ever be able to have children.,無,15
numerous,'nju:mərəs,a.,"極多的, 數目眾多的",There are numerous places to study English in Taipei but not many of them provide quality education.,無,16
burial,'berɪəl,n.,"葬禮, 埋葬","After attending the burial, it was impossible for him to do anything enjoyable for the rest of the day.",無,16
intrigue,ɪn'tri:ɡ,n.,"詭計, (對於較神祕或奇特事件的) 興趣","If it were not for the sense of intrigue that I felt in this subject, I would have dropped the class.",無,16
lavish,'lævɪʃ,v. / a.,"揮霍, 花費, 給予 (金錢、讚美等); 大量的, 揮霍的",The parents lavished so much praise on their children when they were young that they ended up spoiled.,無,16
fearsome,'fɪəsəm,a.,"可怕的, 驚人的",The chancellor remains a driven man with a fearsome capacity for work.,無,16
disintegrate,dɪs'ɪntɪ(ə)ɡreɪt,v.,"使分裂, 崩潰, 瓦解","After suffering four losses in a row, the team's morale disintegrated.",無,16
elaborate,ɪ'læbərɪ(ə)t,a. / v.,詳盡的; 詳加解釋、說明,You don't need to give me such an elaborate explanation of what you were doing when you could simply say that you were out.,無,16
demonstrate,'demənstreɪt,v.,"證明, 示範",I simply don't understand how to do this. Can you please demonstrate it for me?,無,16
diversity,daɪ'vɜ:sɪ(ə)ti,n.,"變化, 多樣性",There are fears that human cloning will eventually lead to the loss of genetic diversity in our species as unwanted characteristics are eradicated.,無,17
crucial,'kru:ʃəl,a.,"決定性的, 重要的","If you want to recover from heart disease, it is crucial that you undertake a programme of moderate cardiovascular exercise for two hours every day.",無,17
reluctant,rɪ'lʌktənt,a.,不情願的,Most doctors are reluctant to prescribe sleeping pills unless there is an urgent need for them as they do not cure the root of the problem.,無,17
unprecedented,ʌn'presɪ(ə)dentɪd,a.,"前所未有的, 史無前例的",We are having unprecedented success with the new asthma drug and hope it will be available worldwide in the near future.,無,17
speculate,'spekjʊleɪt,v.,"思索, 沉思, 推測, 做投機買賣",The reporter speculated about whether the new government would indeed increase education funding as it had promised in its election campaign.,無,17
estimate,'estɪ(ə)meɪt,v.,"估計, 估價, 預估",A preview of the construction plans will help the builders estimate an approximate cost for the project.,無,17
redundant,rɪ'dʌndənt,a.,"多餘的, (英) 解雇的、失業的",The discovery and invention of new antibiotics have helped to render penicillin redundant despite its importance in history.,無,17
extravagant,ɪk'strævəɡənt,a.,"揮霍的, 鋪張的, 過度的",The decorations at our university's commencement ceremonies are very extravagant.,無,18
tendency,'tendənsi,n.,"傾向, 趨勢","If your child has a tendency to avoid social interaction with other children and difficulty learning language skills, he could be autistic.",無,18
attribute,ə'trɪbju:t,v.,歸因於,The man's death was attributed to natural causes.,無,18
compatible,kəm'pætɪ(ə)bəl,a.,"可相容的, 可共處的",The great advantage of the O blood type is that it is compatible with most other types in blood transfusions.,無,18
cultivate,'kʌltɪ(ə)veɪt,v.,"耕作, 栽培, 培植",The bacteria from the swabs are cultivated in the laboratory in order to identify the patient's disease.,無,18
enthusiastic,ɪnˌθju:zɪ'æstɪk,a.,"熱情的, 充滿熱忱的",The students at this college are all very enthusiastic about the subjects they are learning.,無,18
keen,ki:n,a.,"熱衷的, 激烈的, 敏銳的",I am very keen on continuing with the plan that we originally made.,無,18
fabulous,'fæbjʊləs,a.,"極好的, 驚人的",These herbs are fabulous at assisting weight loss. My sister has lost four kilograms in two weeks.,無,18
nonetheless,ˌnʌnðə'les,adv.,"雖然如此, 但是","You have made a strong recovery over the past week, nonetheless, we will need to keep you in hospital for further observation for at least two more weeks.",無,19
privileged,'prɪvɪ(ə)lɪdʒd,a.,享有特權的,Scientific philosophers have grave concerns that genetically engineered babies may only be available to the privileged classes who have the money to pay for one.,無,19
extraordinary,ɪk'strɔ:dɪnəri,a.,"驚人的, 非凡的, 非常特別的",The patient's full recovery from cancer by changing to a fully organic diet was extraordinary.,無,19
absurd,əb'sɜ:d,a.,荒謬的,It would be absurd to suggest that the prescription of drugs was the only method to consider in the treatment of disease.,無,19
overshadow,ˌəʊvə'ʃædəʊ,v.,"給...蒙上陰影, 使...黯然失色","When working as a doctor in war-torn countries, it is important not to let small successes be overshadowed by the huge task looming ahead of you.",無,19
fluctuate,'flʌktʃʊeɪt,v.,"波動, 起伏",The number of first-year medical students has been fluctuating from year to year due to changing government policies regarding hospitals.,無,19
inevitable,ɪ'nevɪtəbəl,a.,"無法避免的, 必然的","Although death will always be inevitable, in the near future we will be able to delay it for many years.",無,19
considerably,kən'sɪdərəbli,adv.,"非常, 相當大地, 很大程度地",My chances of getting into Harvard increased considerably after my professor wrote me that excellent letter of recommendation.,無,20
consequently,'kɒnsɪ(ə)kwəntli,adv.,"因此, 所以",He has a hard time hearing and consequently his family always yells when they want to talk to him.,無,20
intrusive,ɪn'tru:sɪv,a.,"強制的, 侵入的, 擾人的",I considered his intrusive questions about the financial condition of my family an invasion of my privacy.,無,20
obviously,'ɒbvɪəsli,adv.,"明顯地, 顯而易見地",The economy obviously suffers after natural disasters strike.,無,20
perplexed,pə'plekst,a.,"困惑的, 不知所措的, 混亂的","Even though the teacher patiently explained the grammar point a number of times, the students were still perplexed.",無,20
manifest,'mænɪ(ə)fest,v.,"以行動表示或證明, 顯現, 表現",SARS first manifests itself as a high fever and coughs.,無,20
passionately,'pæʃənɪ(ə)tli,adv.,"熱情地, 熱烈激昂地",The lawyer argued for his case passionately but ultimately lost because his reasoning had no logic.,無,20
reckless,'rekləs,a.,"不顧危險的, 魯莽不智的",Driving after drinking is reckless behaviour.,無,20
prevail,prɪ'veɪl,v.,"佔優勢, 戰勝, 流行, 普及","He prevailed against all odds to win a seat in parliament. / As long as the people insist on not using condoms, AIDS will continue to prevail.",無,21
negligent,'neɡlɪdʒənt,a.,"疏忽的, 大意的",The doctor was sued for his negligent behaviour in failing to inform his patient of the test results.,無,21
habitually,hə'bɪtʃʊəli,adv.,習慣性地,He smokes habitually. He lights up on the hour.,無,21
day-to-day,deɪ tə deɪ,a.,"每天的, 日常的","My day-to-day schedule consists of school in the morning, a part-time job in the afternoon and studying in the evening.",無,21
remarkable,rɪ'mɑ:kəbəl,a.,"了不起的, 傑出的, 特別有趣而引人注目的",The event yesterday was remarkable because it was the first time that Jews and Protestants in Carlsburg sponsored an event together.,無,21
radical,'rædɪkəl,a.,"激進的, 極端的",My professor's ideology is very radical. He believes in socialism so strongly that I wonder sometimes if he is actually a communist.,無,21
realistic,ˌrɪə'lɪstɪk,a.,"實際的, 現實的",The expectations that you have for me are simply not realistic. There is no way that I can fulfil them.,無,21
turbulent,'tɜ:bjʊlənt,a.,"狂亂的, 動盪不安的","Due to the turbulent social and political climate in South Africa, hospitals in the poorer townships are being flooded with victims of violence.",無,22
irreplaceable,ˌɪrɪ'pleɪsəbəl,a.,無法取代的,Nurse Sloane knows so much about our clinic that she is irreplaceable. We'll have to give her a pay raise so she doesn't leave.,無,22
breakthrough,'breɪkθru:,n.,"突破, 重大進展","The discovery of the antibiotic properties of penicillin was a breakthrough for medicine, enabling a whole new realm of possibilities.",無,22
applied,ə'plaɪd,a.,"應用的, 實用的","After completing his MA in Applied Linguistics, he went overseas to forge ahead with his career in the ELT (English Language Teaching) industry.",無,22
envisage,ɪn'vɪzɪdʒ,v.,"設想, 可預見","Due to the increased incidence of serious flu this year, it's envisaged that free flu shots will be provided to the general public next year.",無,22
integrated,'ɪntɪ(ə)ɡreɪtɪ(ə)d,a.,"融入的, 整合的",The basic component of microelectronics is integrated circuits.,integrated circuit 積體電路,22
alternative,ɔ:l'tɜ:nətɪv,n.,"可選擇的方式, 替代方案",We must consider every possible alternative before making this decision.,無,23
tremendous,trɪ'mendəs,a.,"(體積、數量或程度上) 極大的, 巨大的",The benefits of moving our factories from the United Kingdom to China are tremendous.,無,23
cynical,'sɪnɪkəl,a.,"挖苦的, 嘲諷的, 憤世嫉俗的",He is always so cynical about every suggestion that I make. It makes me not want to work for him anymore.,無,23
alongside,əˌlɒŋ'saɪd,prep.,"沿著, 靠著, 在...旁邊","After my coworkers came alongside me with this plan, everything went much more smoothly.",無,23
unsurprisingly,ˌʌnsə'praɪzɪŋli,adv.,"不令人感到意外地, 不足為奇地","Unsurprisingly, after the patient took more herbal medicine, his cold became much better.",無,23
permanently,'pɜ:mənəntli,adv.,"不變地, 恆久地",This solution will not fix the problem permanently. It will only provide a temporary solution.,無,23
reinforce,ˌri:ɪn'fɔ:s,v.,"強化, 支持, 加強",The fact that English is becoming a more common language reinforces my argument that the world is increasingly becoming more connected.,無,24
refine,rɪ'faɪn,v.,"改善 (較細微的事物), 使優雅, 使純淨",Her time with her grandparents in England refined her manners considerably.,無,24
behalf,bɪ'hɑ:f,n.,代表,Can you ask him a favour on my behalf?,on sb's behalf 代表某人,24
supplementary,ˌsʌplɪ'mentəri,a.,補充的,My math level is not high enough to enter college so I need to go to a private school to receive supplementary education.,無,24
preliminary,prɪ'lɪmɪ(ə)nəri,a.,"初步的, 開端的","Before we can begin this class, I have a few preliminary matters to talk about.",無,24
forthcoming,ˌfɔ:θ'kʌmɪŋ,a.,"願意 (幫忙或提供訊息) 的, 即將到來的","Peace between Palestinians and Israelis will be easier to attain if both sides are forthcoming about their needs, intentions and goals.",無,24
persistent,pə'sɪstənt,a.,"持續的, 堅持的",I would have never woken up if not for the persistent ringing of my alarm clock.,無,24
